,location,location_counter,actor,line,neg,neu,pos,compound
163,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,I wonder who she is. It sounds like she's in trouble. I'd better play back the whole thing.,0.115,0.553,0.332,0.6249
164,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"He says the restraining bolt has short circuited his recording system. He suggests that if you remove the bolt, he might be able to play back the entire recording.",0.0,0.921,0.079,0.34
165,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,"H'm? Oh, yeah, well, I guess you're too small to run away on me if I take this off! Okay.",0.0,0.698,0.302,0.6696
166,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,There you go.,0.0,1.0,0.0,0.0
167,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,"Well, wait a minute. Where'd she go? Bring her back! Play back the entire message.",0.0,0.715,0.285,0.5848
168,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,What message? The one you're carrying inside your rusty innards!,0.0,1.0,0.0,0.0
169,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,AUNT BERU,Luke? Luke! Come to dinner!,0.0,1.0,0.0,0.0
170,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,"All right, I'll be right there, Aunt Beru.",0.0,1.0,0.0,0.0
171,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"I'm sorry, sir, but he appears to have picked up a slight flutter.",0.095,0.905,0.0,-0.0387
172,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,LUKE,"Well, see what you can do with him. I'll be right back.",0.0,0.84,0.16,0.2732
173,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,(to Artoo)Just you reconsider playing that message for him.,0.0,0.816,0.184,0.2023
174,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"No, I don't think he likes you at all.",0.43,0.57,0.0,-0.5472
175,INT. LARS HOMESTEAD - GARAGE AREA - LATE AFTERNOON,27,THREEPIO,"No, I don't like you either.",0.59,0.41,0.0,-0.5122
176,INT. LARS HOMESTEAD - DINING AREA,28,LUKE,"You know, I think that R2 unit we bought might have been stolen.",0.225,0.775,0.0,-0.4939
177,INT. LARS HOMESTEAD - DINING AREA,28,OWEN,What makes you think that?,0.0,1.0,0.0,0.0
178,INT. LARS HOMESTEAD - DINING AREA,28,LUKE,"Well, I stumbled across a recording while I was cleaning him. He says he belongs to someone called Obi-Wan Kenobi.",0.0,0.884,0.116,0.2732
179,INT. LARS HOMESTEAD - DINING AREA,28,LUKE,"I thought he might have meant old Ben. Do you know what he's talking about? Well, I wonder if he's related to Ben.",0.0,0.905,0.095,0.2732
180,INT. LARS HOMESTEAD - DINING AREA,28,OWEN,That old man's just a crazy old wizard. Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed. That'll be the end of it. It belongs to us now.,0.069,0.893,0.037,-0.2732
181,INT. LARS HOMESTEAD - DINING AREA,28,LUKE,But what if this Obi-Wan comes looking for him?,0.0,1.0,0.0,0.0
182,INT. LARS HOMESTEAD - DINING AREA,28,OWEN,"He won't, I don't think he exists any more. He died about the same time as your father.",0.195,0.805,0.0,-0.5965
183,INT. LARS HOMESTEAD - DINING AREA,28,LUKE,He knew my father?,0.0,1.0,0.0,0.0
184,INT. LARS HOMESTEAD - DINING AREA,28,OWEN,I told you to forget it. Your only concern is to prepare the new droids for tomorrow. In the morning I want them on the south ridge working out those condensers.,0.063,0.894,0.043,-0.1531
185,INT. LARS HOMESTEAD - DINING AREA,28,LUKE,"Yes, sir. I think those new droids are going to work out fine. In fact, I, uh, was also thinking about our agreement about my staying on another season. And if these new droids do work out, I want to transmit my application to the Academy this year.",0.0,0.824,0.176,0.7906
186,INT. LARS HOMESTEAD - DINING AREA,28,OWEN,You mean the next semester before harvest?,0.0,1.0,0.0,0.0
187,INT. LARS HOMESTEAD - DINING AREA,28,LUKE,"Sure, there're more than enough droids.",0.0,0.685,0.315,0.3182
188,INT. LARS HOMESTEAD - DINING AREA,28,OWEN,Harvest is when I need you the most. Only one more season. This year we'll make enough on the harvest so I'll be able to hire some more hands. And then you can go to the Academy next year.,0.0,1.0,0.0,0.0
189,INT. LARS HOMESTEAD - DINING AREA,28,OWEN,"You must understand I need you here, Luke.",0.0,1.0,0.0,0.0
190,INT. LARS HOMESTEAD - DINING AREA,28,LUKE,But it's a whole 'nother year.,0.0,1.0,0.0,0.0
191,INT. LARS HOMESTEAD - DINING AREA,28,OWEN,"Look, it's only one more season.",0.0,1.0,0.0,0.0
192,INT. LARS HOMESTEAD - DINING AREA,28,LUKE,"Yeah, that's what you said last year when Biggs and Tank left.",0.0,0.833,0.167,0.296
193,INT. LARS HOMESTEAD - DINING AREA,28,AUNT BERU,Where are you going?,0.0,1.0,0.0,0.0
194,INT. LARS HOMESTEAD - DINING AREA,28,LUKE,It looks like I'm going nowhere. I have to finish cleaning those droids.,0.0,0.815,0.185,0.3612
195,INT. LARS HOMESTEAD - DINING AREA,28,AUNT BERU,"Owen, he can't stay here forever. Most of his friends have gone. It means so much to him.",0.0,0.835,0.165,0.5209
196,INT. LARS HOMESTEAD - DINING AREA,28,OWEN,I'll make it up to him next year. I promise.,0.0,0.777,0.223,0.3182
197,INT. LARS HOMESTEAD - DINING AREA,28,AUNT BERU,"Luke's just not a farmer, Owen. He has too much of his father in him.",0.0,1.0,0.0,0.0
198,INT. LARS HOMESTEAD - DINING AREA,28,OWEN,That's what I'm afraid of.,0.0,1.0,0.0,0.0
199,INT. LARS HOMESTEAD - GARAGE,30,LUKE,What are you doing hiding there?,0.306,0.694,0.0,-0.296
200,INT. LARS HOMESTEAD - GARAGE,30,THREEPIO,"It wasn't my fault, sir. Please don't deactivate me. I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission.",0.108,0.771,0.12,-0.1707
201,INT. LARS HOMESTEAD - GARAGE,30,LUKE,"Oh, no!",0.714,0.286,0.0,-0.3595
202,EXT. TATOOINE - LARS HOMESTEAD,31,THREEPIO,That R2 unit has always been a problem. These astro-droids are getting quite out of hand. Even I can't understand their logic at times.,0.103,0.764,0.132,0.1935
203,EXT. TATOOINE - LARS HOMESTEAD,31,LUKE,How could I be so stupid? He's nowhere in sight. Blast it!,0.318,0.682,0.0,-0.6867
204,EXT. TATOOINE - LARS HOMESTEAD,31,THREEPIO,"Pardon me, sir, but couldn't we go after him?",0.0,0.829,0.171,0.1655
205,EXT. TATOOINE - LARS HOMESTEAD,31,LUKE,It's too dangerous with all the Sandpeople around. We'll have to wait until morning.,0.193,0.807,0.0,-0.4767
206,EXT. TATOOINE - LARS HOMESTEAD,31,OWEN,"Luke, I'm shutting the power down for the night.",0.0,1.0,0.0,0.0
207,EXT. TATOOINE - LARS HOMESTEAD,31,LUKE,"All right, I'll be there in a few minutes. Boy, am I gonna get it.",0.0,1.0,0.0,0.0
208,EXT. TATOOINE - LARS HOMESTEAD,31,LUKE,You know that little droid is going to cause me a lot of trouble.,0.184,0.816,0.0,-0.4019
209,EXT. TATOOINE - LARS HOMESTEAD,31,THREEPIO,"Oh, he excels at that, sir.",0.0,0.588,0.412,0.5423
210,INT. LARS HOMESTEAD - PLAZA,32,OWEN,Luke? Luke? Luke? Where could he be loafing now!,0.0,1.0,0.0,0.0
211,INT. LARS HOMESTEAD - KITCHEN,33,OWEN,Have you seen Luke this morning?,0.0,1.0,0.0,0.0
212,INT. LARS HOMESTEAD - KITCHEN,33,AUNT BERU,"He said he had some things to do before he started today, so he left early.",0.0,1.0,0.0,0.0
213,INT. LARS HOMESTEAD - KITCHEN,33,OWEN,Uh? Did he take those two new droids with him?,0.0,1.0,0.0,0.0
214,INT. LARS HOMESTEAD - KITCHEN,33,AUNT BERU,I think so.,0.0,1.0,0.0,0.0
215,INT. LARS HOMESTEAD - KITCHEN,33,OWEN,"Well, he'd better have those units in the south range repaired be midday or there'll be hell to pay!",0.239,0.571,0.19,-0.3164
216,INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,34,DAY,,0.0,0.0,0.0,0.0
217,INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,35,LUKE,(yelling)How's that.,0.0,1.0,0.0,0.0
218,INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,35,LUKE,"Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far. We must have missed him. Uncle Owen isn't going to take this very well.",0.072,0.849,0.079,0.0745
219,INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,35,THREEPIO,"Sir, would it help if you told him it was my fault.",0.175,0.649,0.175,0.0
220,INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,35,LUKE,(brightening)Sure. He needs you. He'd probably only deactivate you for a day or so...,0.0,1.0,0.0,0.0
221,INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,35,THREEPIO,"Deactivate! Well, on the other hand if you hadn't removed his restraining bolt...",0.0,0.663,0.337,0.68
222,INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,35,LUKE,"Wait, there's something dead ahead on the scanner. It looks like our droid... hit the accelerator.",0.207,0.673,0.12,-0.4215
223,EXT. TATOOINE - ROCK CANYON - FLOOR,38,LUKE,"Hey, whoa, just where do you think you're going?",0.0,1.0,0.0,0.0
224,EXT. TATOOINE - ROCK CANYON - FLOOR,38,THREEPIO,"Master Luke here is your rightful owner. We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me about your mission, either. You're fortunate he doesn't blast you into a million pieces right here.",0.056,0.87,0.074,0.1779
225,EXT. TATOOINE - ROCK CANYON - FLOOR,38,LUKE,"Well, come on. It's getting late. I only hope we can get back before Uncle Owen really blows up.",0.0,0.762,0.238,0.6124
226,EXT. TATOOINE - ROCK CANYON - FLOOR,38,THREEPIO,"If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop.",0.0,1.0,0.0,0.0
227,EXT. TATOOINE - ROCK CANYON - FLOOR,38,LUKE,"No, he's not going to try anything.",0.268,0.732,0.0,-0.296
228,EXT. TATOOINE - ROCK CANYON - FLOOR,38,LUKE,What's wrong with him now?,0.437,0.563,0.0,-0.4767
229,EXT. TATOOINE - ROCK CANYON - FLOOR,38,THREEPIO,"Oh my... sir, he says there are several creatures approaching from the southeast.",0.0,1.0,0.0,0.0
230,EXT. TATOOINE - ROCK CANYON - FLOOR,38,LUKE,"Sandpeople! Or worst! Come on, let's have a look. Come on.",0.342,0.658,0.0,-0.6892
231,EXT. TATOOINE - ROCK CANYON - RIDGE - DAY,39,LUKE,"There are two Banthas down there but I don't see any... wait a second, they're Sandpeople all right. I can see one of them now.",0.0,1.0,0.0,0.0
232,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,BEN,Hello there! Come here my little friend. Don't be afraid.,0.0,0.738,0.262,0.4937
233,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,BEN,"Don't worry, he'll be all right.",0.0,0.675,0.325,0.3412
234,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,LUKE,What happened?,0.0,1.0,0.0,0.0
235,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,BEN,"Rest easy, son, you've had a busy day. You're fortunate you're still in one piece.",0.0,0.674,0.326,0.7003
236,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,LUKE,"Ben? Ben Kenobi! Boy, am I glad to see you!",0.0,0.691,0.309,0.555
237,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,BEN,"The Jundland wastes are not to be traveled lightly. Tell me young Luke, what brings you out this far?",0.0,1.0,0.0,0.0
238,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,LUKE,"Oh, this little droid! I think he's searching for his former master... I've never seen such devotion in a droid before... there seems to be no stopping him. He claims to be the property of an Obi-Wan Kenobi. Is he a relative of yours? Do you know who he's talking about?",0.133,0.867,0.0,-0.7124
239,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,BEN,Obi-Wan Kenobi... Obi-Wan? Now thats a name I haven't heard in a long time... a long time.,0.0,1.0,0.0,0.0
240,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,LUKE,I think my uncle knew him. He said he was dead.,0.323,0.677,0.0,-0.6486
241,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,BEN,"Oh, he's not dead, not... not yet.",0.0,0.635,0.365,0.5334
242,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,LUKE,You know him!,0.0,1.0,0.0,0.0
243,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,BEN,"Well of course, of course I know him. He's me! I haven't gone by the name Obi-Wan since oh, before you were born.",0.0,0.893,0.107,0.3382
244,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,LUKE,Then the droid does belong to you.,0.0,1.0,0.0,0.0
245,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,BEN,Don't seem to remember ever owning a droid. Very interesting...,0.0,1.0,0.0,0.0
246,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,BEN,I think we better get indoors. The Sandpeople are easily startled but they will soon be back and in greater numbers.,0.056,0.66,0.285,0.6757
247,EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,40,LUKE,Threepio!,0.0,1.0,0.0,0.0
248,EXT. TATOOINE - SAND PIT - ROCK MESA - DAY,41,THREEPIO,Where am I? I must have taken a bad step...,0.333,0.667,0.0,-0.5423
249,EXT. TATOOINE - SAND PIT - ROCK MESA - DAY,41,LUKE,Can you stand? We've got to get out of here before the Sandpeople return.,0.0,1.0,0.0,0.0
250,EXT. TATOOINE - SAND PIT - ROCK MESA - DAY,41,THREEPIO,"I don't think I can make it. You go on, Master Luke. There's no sense in you risking yourself on my account. I'm done for.",0.176,0.824,0.0,-0.5423
251,EXT. TATOOINE - SAND PIT - ROCK MESA - DAY,41,LUKE,"No, you're not. What kind of talk is that?",0.216,0.784,0.0,-0.296
252,EXT. TATOOINE - SAND PIT - ROCK MESA - DAY,41,BEN,"Quickly, son... they're on the move.",0.0,1.0,0.0,0.0
253,INT. KENOBI'S DWELLING,42,LUKE,"No, my father didn't fight in the wars. He was a navigator on a spice freighter.",0.306,0.579,0.115,-0.5597
254,INT. KENOBI'S DWELLING,42,BEN,That's what your uncle told you. He didn't hold with your father's ideals. Thought he should have stayed here and not gotten involved.,0.0,0.924,0.076,0.2023
255,INT. KENOBI'S DWELLING,42,LUKE,You fought in the Clone Wars?,0.596,0.404,0.0,-0.7096
256,INT. KENOBI'S DWELLING,42,BEN,"Yes, I was once a Jedi Knight the same as your father.",0.0,0.769,0.231,0.4019
257,INT. KENOBI'S DWELLING,42,LUKE,I wish I'd known him.,0.0,0.526,0.474,0.4019
258,INT. KENOBI'S DWELLING,42,BEN,"He was the best star-pilot in the galaxy, and a cunning warrior. I understand you've become quite a good pilot yourself. And he was a good friend. Which reminds me...",0.0,0.615,0.385,0.9298
259,INT. KENOBI'S DWELLING,42,BEN,"I have something here for you. Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it. He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did.",0.131,0.725,0.144,0.1658
260,INT. KENOBI'S DWELLING,42,THREEPIO,"Sir, if you'll not be needing me, I'll close down for awhile.",0.0,1.0,0.0,0.0
261,INT. KENOBI'S DWELLING,42,LUKE,"Sure, go ahead.",0.0,0.465,0.535,0.3182
262,INT. KENOBI'S DWELLING,42,LUKE,What is it?,0.0,1.0,0.0,0.0
263,INT. KENOBI'S DWELLING,42,BEN,Your fathers lightsaber. This is the weapon of a Jedi Knight. Not as clumsy or as random as a blaster.,0.115,0.885,0.0,-0.296
264,INT. KENOBI'S DWELLING,42,BEN,"An elegant weapon for a more civilized time. For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic. Before the dark times, before the Empire.",0.055,0.697,0.249,0.8316
265,INT. KENOBI'S DWELLING,42,LUKE,How did my father die?,0.494,0.506,0.0,-0.5994
266,INT. KENOBI'S DWELLING,42,BEN,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights. He betrayed and murdered your father. Now the Jedi are all but extinct. Vader was seduced by the dark side of the Force.",0.217,0.783,0.0,-0.872
267,INT. KENOBI'S DWELLING,42,LUKE,The Force?,0.0,1.0,0.0,0.0
268,INT. KENOBI'S DWELLING,42,BEN,"Well, the Force is what gives a Jedi his power. It's an energy field created by all living things. It surrounds us and penetrates us. It binds the galaxy together.",0.0,0.807,0.193,0.6369
269,INT. KENOBI'S DWELLING,42,BEN,"Now, let's see if we can't figure out what you are, my little friend. And where you come from.",0.0,0.861,0.139,0.4417
270,INT. KENOBI'S DWELLING,42,LUKE,I saw part of the message he was...,0.0,1.0,0.0,0.0
271,INT. KENOBI'S DWELLING,42,BEN,I seem to have found it.,0.0,1.0,0.0,0.0
272,INT. KENOBI'S DWELLING,42,LEIA,"General Kenobi, years ago you served my father in the Clone Wars. Now he begs you to help him in his struggle against the Empire. I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed. I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit. My father will know how to retrieve it. You must see this droid safely delivered to him on Alderaan. This is our most desperate hour. Help me, Obi-Wan Kenobi, you're my only hope.",0.17,0.706,0.124,-0.6241
273,INT. KENOBI'S DWELLING,42,BEN,You must learn the ways of the Force if you're to come with me to Alderaan.,0.0,1.0,0.0,0.0
274,INT. KENOBI'S DWELLING,42,LUKE,"(laughing)Alderaan? I'm not going to Alderaan. I've got to go home. It's late, I'm in for it as it is.",0.0,1.0,0.0,0.0
275,INT. KENOBI'S DWELLING,42,BEN,"I need your help, Luke. She needs your help. I'm getting too old for this sort of thing.",0.0,0.735,0.265,0.6597
276,INT. KENOBI'S DWELLING,42,LUKE,I can't get involved! I've got work to do! It's not that I like the Empire. I hate it! But there's nothing I can do about it right now. It's such a long way from here.,0.187,0.813,0.0,-0.7708
277,INT. KENOBI'S DWELLING,42,BEN,That's your uncle talking.,0.0,1.0,0.0,0.0
278,INT. KENOBI'S DWELLING,42,LUKE,"(sighing)Oh, God, my uncle. How am I ever going to explain this?",0.0,0.826,0.174,0.2732
279,INT. KENOBI'S DWELLING,42,BEN,"Learn about the Force, Luke.",0.0,1.0,0.0,0.0
280,INT. KENOBI'S DWELLING,42,LUKE,"Look, I can take you as far as Anchorhead. You can get a transport there to Mos Eisley or wherever you're going.",0.0,1.0,0.0,0.0
281,INT. KENOBI'S DWELLING,42,BEN,"You must do what you feel is right, of course.",0.0,1.0,0.0,0.0
282,INT. DEATH STAR - CONFERENCE ROOM,44,TAGGE,Until this battle station is fully operational we are vulnerable. The Rebel Alliance is too well equipped. They're more dangerous than you realize.,0.321,0.608,0.071,-0.7501
283,INT. DEATH STAR - CONFERENCE ROOM,44,MOTTI,"Dangerous to your starfleet, Commander, not to this battle station!",0.444,0.556,0.0,-0.75
284,INT. DEATH STAR - CONFERENCE ROOM,44,TAGGE,The Rebellion will continue to gain a support in the Imperial Senate as long as....,0.081,0.591,0.328,0.6808
285,INT. DEATH STAR - CONFERENCE ROOM,44,TARKIN,The Imperial Senate will no longer be of any concern to us. I've just received word that the Emperor has dissolved the council permanently. The last remnants of the Old Republic have been swept away.,0.061,0.939,0.0,-0.296
286,INT. DEATH STAR - CONFERENCE ROOM,44,TAGGE,That's impossible! How will the Emperor maintain control without the bureaucracy?,0.0,1.0,0.0,0.0
287,INT. DEATH STAR - CONFERENCE ROOM,44,TARKIN,The regional governors now have direct control over territories. Fear will keep the local systems in line. Fear of this battle station.,0.321,0.679,0.0,-0.8402
288,INT. DEATH STAR - CONFERENCE ROOM,44,TAGGE,"And what of the Rebellion? If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it.",0.231,0.769,0.0,-0.6705
289,INT. DEATH STAR - CONFERENCE ROOM,44,VADER,The plans you refer to will soon be back in our hands.,0.0,1.0,0.0,0.0
290,INT. DEATH STAR - CONFERENCE ROOM,44,MOTTI,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained. This station is now the ultimate power in the universe. I suggest we use it!",0.253,0.72,0.027,-0.8439
291,INT. DEATH STAR - CONFERENCE ROOM,44,VADER,Don't be too proud of this technological terror you've constructed. The ability to destroy a planet is insignificant next to the power of the Force.,0.358,0.573,0.069,-0.8609
292,INT. DEATH STAR - CONFERENCE ROOM,44,MOTTI,"Don't try to frighten us with your sorcerer's ways, Lord Vader. Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebel's hidden fort...",0.136,0.755,0.109,-0.3103
293,INT. DEATH STAR - CONFERENCE ROOM,44,VADER,I find your lack of faith disturbing.,0.491,0.263,0.246,-0.4215
294,INT. DEATH STAR - CONFERENCE ROOM,44,TARKIN,"Enough of this! Vader, release him!",0.0,1.0,0.0,0.0
295,INT. DEATH STAR - CONFERENCE ROOM,44,VADER,As you wish.,0.0,0.426,0.574,0.4019
296,INT. DEATH STAR - CONFERENCE ROOM,44,TARKIN,This bickering is pointless. Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational. We will then crush the Rebellion with one swift stroke.,0.132,0.817,0.051,-0.2263
297,EXT. TATOOINE - WASTELAND,45,LUKE,"It looks like Sandpeople did this, all right. Look, here are Gaffi sticks, Bantha tracks. It's just... I never heard of them hitting anything this big before.",0.0,0.909,0.091,0.3612
298,EXT. TATOOINE - WASTELAND,45,BEN,They didn't. But we are meant to think they did. These tracks are side by side. Sandpeople always ride single file to hide there numbers.,0.066,0.934,0.0,-0.1779
299,EXT. TATOOINE - WASTELAND,45,LUKE,These are the same Jawas that sold us Artoo and Threepio.,0.0,1.0,0.0,0.0
300,EXT. TATOOINE - WASTELAND,45,BEN,"And these blast points, too accurate for Sandpeople. Only Imperial stormtroopers are so precise.",0.0,1.0,0.0,0.0
301,EXT. TATOOINE - WASTELAND,45,LUKE,Why would Imperial troops want to slaughter Jawas?,0.0,0.843,0.157,0.0772
302,EXT. TATOOINE - WASTELAND,45,LUKE,"If they traced the robots here, they may have learned who they sold them to. And that would lead them home!",0.0,1.0,0.0,0.0
303,EXT. TATOOINE - WASTELAND,45,BEN,"Wait, Luke! It's too dangerous.",0.459,0.541,0.0,-0.5255
304,EXT. TATOOINE - LARS HOMESTEAD,46,LUKE,Uncle Owen! Aunt Beru! Uncle Owen!,0.0,1.0,0.0,0.0
305,INT. DEATH STAR - DETENTION CORRIDOR,48,VADER,"And, now Your Highness, we will discuss the location of your hidden Rebel base.",0.11,0.89,0.0,-0.1531
306,EXT. TATOOINE - WASTELAND,49,BEN,"There's nothing you could have done, Luke, had you been there. You'd have been killed, too, and the droids would be in the hands of the Empire.",0.148,0.852,0.0,-0.6705
307,EXT. TATOOINE - WASTELAND,49,LUKE,I want to come with you to Alderaan. There's nothing here for me now. I want to learn the ways of the Force and become a Jedi like my father.,0.0,0.825,0.175,0.4767
308,EXT. TATOOINE - WASTELAND,49,BEN,Mos Eisley Spaceport. You will never find a more wretched hive of scum and villainy. We must be cautious.,0.238,0.762,0.0,-0.6124
309,EXT. TATOOINE - MOS EISLEY - STREET,50,TROOPER,How long have you had these droids?,0.0,1.0,0.0,0.0
310,EXT. TATOOINE - MOS EISLEY - STREET,50,LUKE,About three or four seasons.,0.0,1.0,0.0,0.0
311,EXT. TATOOINE - MOS EISLEY - STREET,50,BEN,They're for sale if you want them.,0.0,0.822,0.178,0.0772
312,EXT. TATOOINE - MOS EISLEY - STREET,50,TROOPER,Let me see your identification.,0.0,1.0,0.0,0.0
313,EXT. TATOOINE - MOS EISLEY - STREET,50,BEN,You don't need to see his identification.,0.0,1.0,0.0,0.0
314,EXT. TATOOINE - MOS EISLEY - STREET,50,TROOPER,We don't need to see his identification.,0.0,1.0,0.0,0.0
315,EXT. TATOOINE - MOS EISLEY - STREET,50,BEN,These are not the droids your looking for.,0.0,1.0,0.0,0.0
316,EXT. TATOOINE - MOS EISLEY - STREET,50,TROOPER,These are not the droids we're looking for.,0.0,1.0,0.0,0.0
317,EXT. TATOOINE - MOS EISLEY - STREET,50,BEN,He can go about his business.,0.0,1.0,0.0,0.0
318,EXT. TATOOINE - MOS EISLEY - STREET,50,TROOPER,You can go about your business.,0.0,1.0,0.0,0.0
319,EXT. TATOOINE - MOS EISLEY - STREET,50,BEN,(to Luke)Move along.,0.0,1.0,0.0,0.0
320,EXT. TATOOINE - MOS EISLEY - STREET,50,TROOPER,Move along. Move along.,0.0,1.0,0.0,0.0
321,EXT. TATOOINE - MOS EISLEY - STREET,50,THREEPIO,I can't abide these Jawas. Disgusting creatures.,0.405,0.595,0.0,-0.5267
322,EXT. TATOOINE - MOS EISLEY - STREET,50,LUKE,"Go on, go on. I can't understand how we got by those troopers. I thought we were dead.",0.223,0.777,0.0,-0.6486
323,EXT. TATOOINE - MOS EISLEY - STREET,50,BEN,The Force can have a strong influence on the weak-minded. You will find it a powerful ally.,0.0,0.681,0.319,0.7269
324,EXT. TATOOINE - MOS EISLEY - STREET,50,LUKE,Do you really think we're going to find a pilot here that'll take us to Alderaan?,0.0,1.0,0.0,0.0
325,EXT. TATOOINE - MOS EISLEY - STREET,50,BEN,"Well, most of the best freighter pilots can be found here. Only watch your step. This place can be a little rough.",0.0,0.743,0.257,0.7624
326,EXT. TATOOINE - MOS EISLEY - STREET,50,LUKE,I'm ready for anything.,0.0,0.545,0.455,0.3612
327,EXT. TATOOINE - MOS EISLEY - STREET,50,THREEPIO,"Come along, Artoo.",0.0,1.0,0.0,0.0
328,INT. TATOOINE - MOS EISLEY - CANTINA,51,BARTENDER,We don't serve their kind here!,0.38,0.62,0.0,-0.471
329,INT. TATOOINE - MOS EISLEY - CANTINA,51,LUKE,What?,0.0,1.0,0.0,0.0
330,INT. TATOOINE - MOS EISLEY - CANTINA,51,BARTENDER,Your droids. They'll have to wait outside. We don't want them here.,0.1,0.9,0.0,-0.0572
331,INT. TATOOINE - MOS EISLEY - CANTINA,51,LUKE,"Listen, why don't you wait out by the speeder. We don't want any trouble.",0.079,0.775,0.146,0.2584
332,INT. TATOOINE - MOS EISLEY - CANTINA,51,THREEPIO,I heartily agree with you sir.,0.0,0.615,0.385,0.3612
333,INT. TATOOINE - MOS EISLEY - CANTINA,51,CREATURE,Negola dewaghi wooldugger?!?,0.0,1.0,0.0,0.0
334,INT. TATOOINE - MOS EISLEY - CANTINA,51,HUMAN,He doesn't like you.,0.413,0.587,0.0,-0.2755
335,INT. TATOOINE - MOS EISLEY - CANTINA,51,LUKE,I'm sorry.,0.565,0.435,0.0,-0.0772
336,INT. TATOOINE - MOS EISLEY - CANTINA,51,HUMAN,I don't like you either.,0.413,0.587,0.0,-0.2755
337,INT. TATOOINE - MOS EISLEY - CANTINA,51,HUMAN,Don't insult us. You just watch yourself. We're wanted men. I have the death sentence in twelve systems.,0.178,0.639,0.183,-0.2259
338,INT. TATOOINE - MOS EISLEY - CANTINA,51,LUKE,I'll be careful than.,0.0,0.652,0.348,0.1531
339,INT. TATOOINE - MOS EISLEY - CANTINA,51,HUMAN,You'll be dead.,0.683,0.317,0.0,-0.6486
340,INT. TATOOINE - MOS EISLEY - CANTINA,51,BEN,This little one isn't worth the effort. Come let me buy you something...,0.105,0.895,0.0,-0.1033
341,INT. TATOOINE - MOS EISLEY - CANTINA,51,BARTENDER,No blasters! No blaster!,0.714,0.286,0.0,-0.6103
