location,actor,lines
INT./EXT. LUKE'S SPEEDER - DESERT WASTELAND - TRAVELING - ,LUKE,"Wait, there's something dead ahead on the scanner. It looks like our droid... hit the accelerator."
EXT. TATOOINE - ROCK CANYON - FLOOR,LUKE,"Hey, whoa, just where do you think you're going?"
EXT. TATOOINE - ROCK CANYON - FLOOR,THREEPIO,"Master Luke here is your rightful owner. We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me about your mission, either. You're fortunate he doesn't blast you into a million pieces right here."
EXT. TATOOINE - ROCK CANYON - FLOOR,LUKE,"Well, come on. It's getting late. I only hope we can get back before Uncle Owen really blows up."
EXT. TATOOINE - ROCK CANYON - FLOOR,THREEPIO,"If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop."
EXT. TATOOINE - ROCK CANYON - FLOOR,LUKE,"No, he's not going to try anything."
EXT. TATOOINE - ROCK CANYON - FLOOR,LUKE,What's wrong with him now?
EXT. TATOOINE - ROCK CANYON - FLOOR,THREEPIO,"Oh my... sir, he says there are several creatures approaching from the southeast."
EXT. TATOOINE - ROCK CANYON - FLOOR,LUKE,"Sandpeople! Or worst! Come on, let's have a look. Come on."
EXT. TATOOINE - ROCK CANYON - RIDGE - DAY,LUKE,"There are two Banthas down there but I don't see any... wait a second, they're Sandpeople all right. I can see one of them now."
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,BEN,Hello there! Come here my little friend. Don't be afraid.
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,BEN,"Don't worry, he'll be all right."
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,LUKE,What happened?
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,BEN,"Rest easy, son, you've had a busy day. You're fortunate you're still in one piece."
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,LUKE,"Ben? Ben Kenobi! Boy, am I glad to see you!"
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,BEN,"The Jundland wastes are not to be traveled lightly. Tell me young Luke, what brings you out this far?"
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,LUKE,"Oh, this little droid! I think he's searching for his former master... I've never seen such devotion in a droid before... there seems to be no stopping him. He claims to be the property of an Obi-Wan Kenobi. Is he a relative of yours? Do you know who he's talking about?"
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,BEN,Obi-Wan Kenobi... Obi-Wan? Now thats a name I haven't heard in a long time... a long time.
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,LUKE,I think my uncle knew him. He said he was dead.
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,BEN,"Oh, he's not dead, not... not yet."
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,LUKE,You know him!
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,BEN,"Well of course, of course I know him. He's me! I haven't gone by the name Obi-Wan since oh, before you were born."
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,LUKE,Then the droid does belong to you.
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,BEN,Don't seem to remember ever owning a droid. Very interesting...
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,BEN,I think we better get indoors. The Sandpeople are easily startled but they will soon be back and in greater numbers.
EXT. TATOOINE - ROCK CANYON - FLOOR - DAY,LUKE,Threepio!
EXT. TATOOINE - SAND PIT - ROCK MESA - DAY,THREEPIO,Where am I? I must have taken a bad step...
EXT. TATOOINE - SAND PIT - ROCK MESA - DAY,LUKE,Can you stand? We've got to get out of here before the Sandpeople return.
EXT. TATOOINE - SAND PIT - ROCK MESA - DAY,THREEPIO,"I don't think I can make it. You go on, Master Luke. There's no sense in you risking yourself on my account. I'm done for."
EXT. TATOOINE - SAND PIT - ROCK MESA - DAY,LUKE,"No, you're not. What kind of talk is that?"
EXT. TATOOINE - SAND PIT - ROCK MESA - DAY,BEN,"Quickly, son... they're on the move."
INT. KENOBI'S DWELLING,LUKE,"No, my father didn't fight in the wars. He was a navigator on a spice freighter."
INT. KENOBI'S DWELLING,BEN,That's what your uncle told you. He didn't hold with your father's ideals. Thought he should have stayed here and not gotten involved.
INT. KENOBI'S DWELLING,LUKE,You fought in the Clone Wars?
INT. KENOBI'S DWELLING,BEN,"Yes, I was once a Jedi Knight the same as your father."
INT. KENOBI'S DWELLING,LUKE,I wish I'd known him.
INT. KENOBI'S DWELLING,BEN,"He was the best star-pilot in the galaxy, and a cunning warrior. I understand you've become quite a good pilot yourself. And he was a good friend. Which reminds me..."
INT. KENOBI'S DWELLING,BEN,"I have something here for you. Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it. He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did."
INT. KENOBI'S DWELLING,THREEPIO,"Sir, if you'll not be needing me, I'll close down for awhile."
INT. KENOBI'S DWELLING,LUKE,"Sure, go ahead."
INT. KENOBI'S DWELLING,LUKE,What is it?
INT. KENOBI'S DWELLING,BEN,Your fathers lightsaber. This is the weapon of a Jedi Knight. Not as clumsy or as random as a blaster.
INT. KENOBI'S DWELLING,BEN,"An elegant weapon for a more civilized time. For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic. Before the dark times, before the Empire."
INT. KENOBI'S DWELLING,LUKE,How did my father die?
INT. KENOBI'S DWELLING,BEN,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights. He betrayed and murdered your father. Now the Jedi are all but extinct. Vader was seduced by the dark side of the Force."
INT. KENOBI'S DWELLING,LUKE,The Force?
INT. KENOBI'S DWELLING,BEN,"Well, the Force is what gives a Jedi his power. It's an energy field created by all living things. It surrounds us and penetrates us. It binds the galaxy together."
INT. KENOBI'S DWELLING,BEN,"Now, let's see if we can't figure out what you are, my little friend. And where you come from."
INT. KENOBI'S DWELLING,LUKE,I saw part of the message he was...
INT. KENOBI'S DWELLING,BEN,I seem to have found it.
INT. KENOBI'S DWELLING,LEIA,"General Kenobi, years ago you served my father in the Clone Wars. Now he begs you to help him in his struggle against the Empire. I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed. I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit. My father will know how to retrieve it. You must see this droid safely delivered to him on Alderaan. This is our most desperate hour. Help me, Obi-Wan Kenobi, you're my only hope."
INT. KENOBI'S DWELLING,BEN,You must learn the ways of the Force if you're to come with me to Alderaan.
INT. KENOBI'S DWELLING,LUKE,"(laughing)Alderaan? I'm not going to Alderaan. I've got to go home. It's late, I'm in for it as it is."
INT. KENOBI'S DWELLING,BEN,"I need your help, Luke. She needs your help. I'm getting too old for this sort of thing."
INT. KENOBI'S DWELLING,LUKE,I can't get involved! I've got work to do! It's not that I like the Empire. I hate it! But there's nothing I can do about it right now. It's such a long way from here.
INT. KENOBI'S DWELLING,BEN,That's your uncle talking.
INT. KENOBI'S DWELLING,LUKE,"(sighing)Oh, God, my uncle. How am I ever going to explain this?"
INT. KENOBI'S DWELLING,BEN,"Learn about the Force, Luke."
INT. KENOBI'S DWELLING,LUKE,"Look, I can take you as far as Anchorhead. You can get a transport there to Mos Eisley or wherever you're going."
INT. KENOBI'S DWELLING,BEN,"You must do what you feel is right, of course."
INT. DEATH STAR - CONFERENCE ROOM,TAGGE,Until this battle station is fully operational we are vulnerable. The Rebel Alliance is too well equipped. They're more dangerous than you realize.
INT. DEATH STAR - CONFERENCE ROOM,MOTTI,"Dangerous to your starfleet, Commander, not to this battle station!"
INT. DEATH STAR - CONFERENCE ROOM,TAGGE,The Rebellion will continue to gain a support in the Imperial Senate as long as....
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,The Imperial Senate will no longer be of any concern to us. I've just received word that the Emperor has dissolved the council permanently. The last remnants of the Old Republic have been swept away.
INT. DEATH STAR - CONFERENCE ROOM,TAGGE,That's impossible! How will the Emperor maintain control without the bureaucracy?
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,The regional governors now have direct control over territories. Fear will keep the local systems in line. Fear of this battle station.
INT. DEATH STAR - CONFERENCE ROOM,TAGGE,"And what of the Rebellion? If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it."
INT. DEATH STAR - CONFERENCE ROOM,VADER,The plans you refer to will soon be back in our hands.
INT. DEATH STAR - CONFERENCE ROOM,MOTTI,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained. This station is now the ultimate power in the universe. I suggest we use it!"
INT. DEATH STAR - CONFERENCE ROOM,VADER,Don't be too proud of this technological terror you've constructed. The ability to destroy a planet is insignificant next to the power of the Force.
INT. DEATH STAR - CONFERENCE ROOM,MOTTI,"Don't try to frighten us with your sorcerer's ways, Lord Vader. Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebel's hidden fort..."
INT. DEATH STAR - CONFERENCE ROOM,VADER,I find your lack of faith disturbing.
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,"Enough of this! Vader, release him!"
INT. DEATH STAR - CONFERENCE ROOM,VADER,As you wish.
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,This bickering is pointless. Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational. We will then crush the Rebellion with one swift stroke.
EXT. TATOOINE - WASTELAND,LUKE,"It looks like Sandpeople did this, all right. Look, here are Gaffi sticks, Bantha tracks. It's just... I never heard of them hitting anything this big before."
EXT. TATOOINE - WASTELAND,BEN,They didn't. But we are meant to think they did. These tracks are side by side. Sandpeople always ride single file to hide there numbers.
EXT. TATOOINE - WASTELAND,LUKE,These are the same Jawas that sold us Artoo and Threepio.
EXT. TATOOINE - WASTELAND,BEN,"And these blast points, too accurate for Sandpeople. Only Imperial stormtroopers are so precise."
EXT. TATOOINE - WASTELAND,LUKE,Why would Imperial troops want to slaughter Jawas?
EXT. TATOOINE - WASTELAND,LUKE,"If they traced the robots here, they may have learned who they sold them to. And that would lead them home!"
EXT. TATOOINE - WASTELAND,BEN,"Wait, Luke! It's too dangerous."
EXT. TATOOINE - LARS HOMESTEAD,LUKE,Uncle Owen! Aunt Beru! Uncle Owen!
INT. DEATH STAR - DETENTION CORRIDOR,VADER,"And, now Your Highness, we will discuss the location of your hidden Rebel base."
EXT. TATOOINE - WASTELAND,BEN,"There's nothing you could have done, Luke, had you been there. You'd have been killed, too, and the droids would be in the hands of the Empire."
EXT. TATOOINE - WASTELAND,LUKE,I want to come with you to Alderaan. There's nothing here for me now. I want to learn the ways of the Force and become a Jedi like my father.
EXT. TATOOINE - WASTELAND,BEN,Mos Eisley Spaceport. You will never find a more wretched hive of scum and villainy. We must be cautious.
EXT. TATOOINE - MOS EISLEY - STREET,TROOPER,How long have you had these droids?
EXT. TATOOINE - MOS EISLEY - STREET,LUKE,About three or four seasons.
EXT. TATOOINE - MOS EISLEY - STREET,BEN,They're for sale if you want them.
EXT. TATOOINE - MOS EISLEY - STREET,TROOPER,Let me see your identification.
EXT. TATOOINE - MOS EISLEY - STREET,BEN,You don't need to see his identification.
EXT. TATOOINE - MOS EISLEY - STREET,TROOPER,We don't need to see his identification.
EXT. TATOOINE - MOS EISLEY - STREET,BEN,These are not the droids your looking for.
EXT. TATOOINE - MOS EISLEY - STREET,TROOPER,These are not the droids we're looking for.
EXT. TATOOINE - MOS EISLEY - STREET,BEN,He can go about his business.
EXT. TATOOINE - MOS EISLEY - STREET,TROOPER,You can go about your business.
EXT. TATOOINE - MOS EISLEY - STREET,BEN,(to Luke)Move along.
EXT. TATOOINE - MOS EISLEY - STREET,TROOPER,Move along. Move along.
EXT. TATOOINE - MOS EISLEY - STREET,THREEPIO,I can't abide these Jawas. Disgusting creatures.
EXT. TATOOINE - MOS EISLEY - STREET,LUKE,"Go on, go on. I can't understand how we got by those troopers. I thought we were dead."
EXT. TATOOINE - MOS EISLEY - STREET,BEN,The Force can have a strong influence on the weak-minded. You will find it a powerful ally.
EXT. TATOOINE - MOS EISLEY - STREET,LUKE,Do you really think we're going to find a pilot here that'll take us to Alderaan?
EXT. TATOOINE - MOS EISLEY - STREET,BEN,"Well, most of the best freighter pilots can be found here. Only watch your step. This place can be a little rough."
EXT. TATOOINE - MOS EISLEY - STREET,LUKE,I'm ready for anything.
EXT. TATOOINE - MOS EISLEY - STREET,THREEPIO,"Come along, Artoo."
INT. TATOOINE - MOS EISLEY - CANTINA,BARTENDER,We don't serve their kind here!
INT. TATOOINE - MOS EISLEY - CANTINA,LUKE,What?
INT. TATOOINE - MOS EISLEY - CANTINA,BARTENDER,Your droids. They'll have to wait outside. We don't want them here.
INT. TATOOINE - MOS EISLEY - CANTINA,LUKE,"Listen, why don't you wait out by the speeder. We don't want any trouble."
INT. TATOOINE - MOS EISLEY - CANTINA,THREEPIO,I heartily agree with you sir.
INT. TATOOINE - MOS EISLEY - CANTINA,CREATURE,Negola dewaghi wooldugger?!?
INT. TATOOINE - MOS EISLEY - CANTINA,HUMAN,He doesn't like you.
INT. TATOOINE - MOS EISLEY - CANTINA,LUKE,I'm sorry.
INT. TATOOINE - MOS EISLEY - CANTINA,HUMAN,I don't like you either.
INT. TATOOINE - MOS EISLEY - CANTINA,HUMAN,Don't insult us. You just watch yourself. We're wanted men. I have the death sentence in twelve systems.
INT. TATOOINE - MOS EISLEY - CANTINA,LUKE,I'll be careful than.
INT. TATOOINE - MOS EISLEY - CANTINA,HUMAN,You'll be dead.
INT. TATOOINE - MOS EISLEY - CANTINA,BEN,This little one isn't worth the effort. Come let me buy you something...
INT. TATOOINE - MOS EISLEY - CANTINA,BARTENDER,No blasters! No blaster!
INT. TATOOINE - MOS EISLEY - CANTINA,BEN,This is Chewbacca. He's first-mate on a ship that might suit our needs.
EXT. TATOOINE - MOS EISLEY - STREET,THREEPIO,I don't like the look of this.
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,Han Solo. I'm captain of the Millennium Falcon. Chewie here tells me you're looking for passage to the Alderaan system.
INT. TATOOINE - MOS EISLEY - CANTINA,BEN,"Yes, indeed. If it's a fast ship."
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,Fast ship? You've never heard of the Millennium Falcon?
INT. TATOOINE - MOS EISLEY - CANTINA,BEN,Should I have?
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,It's the ship that made the Kessel run in less than twelve parsecs!
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,"I've outrun Imperial starships, not the local bulk-cruisers, mind you. I'm talking about the big Corellian ships now. She's fast enough for you, old man. What's the cargo?"
INT. TATOOINE - MOS EISLEY - CANTINA,BEN,"Only passengers. Myself, the boy, two droids, and no questions asked."
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,What is it? Some kind of local trouble?
INT. TATOOINE - MOS EISLEY - CANTINA,BEN,Let's just say we'd like to avoid any Imperial entanglements.
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,"Well, that's the trick, isn't it? And it's going to cost you something extra. Ten thousand in advance."
INT. TATOOINE - MOS EISLEY - CANTINA,LUKE,Ten thousand? We could almost buy our own ship for that!
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,"But who's going to fly it, kid! You?"
INT. TATOOINE - MOS EISLEY - CANTINA,LUKE,You bet I could. I'm not such a bad pilot myself! We don't have to sit here and listen...
INT. TATOOINE - MOS EISLEY - CANTINA,BEN,"We haven't that much with us. But we could pay you two thousand now, plus fifteen when we reach Alderaan."
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,"Seventeen, huh!"
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,Okay. You guys got yourself a ship. We'll leave as soon as you're ready. Docking bay Ninety-four.
INT. TATOOINE - MOS EISLEY - CANTINA,BEN,Ninety-four.
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,Looks like somebody's beginning to take an interest in your handiwork.
INT. TATOOINE - MOS EISLEY - CANTINA,TROOPER,"All right, we'll check it out."
INT. TATOOINE - MOS EISLEY - CANTINA,HAN,Seventeen thousand! Those guys must really be desperate. This could really save my neck. Get back to the ship and get her ready.
EXT. TATOOINE - MOS EISLEY - STREET,BEN,You'll have to sell your speeder.
EXT. TATOOINE - MOS EISLEY - STREET,LUKE,That's okay. I'm never coming back to this planet again.
INT. MOS EISLEY - CANTINA,GREEDO,"Going somewhere, Solo?"
INT. MOS EISLEY - CANTINA,HAN,"Yes, Greedo. As a matter of fact, I was just going to see your boss. Tell Jabba that I've got his money."
INT. MOS EISLEY - CANTINA,GREEDO,"It's too late. You should have paid him when you had the chance. Jabba's put a price on your head, so large that every bounty hunter in the galaxy will be looking for you. I'm lucky I found you first."
INT. MOS EISLEY - CANTINA,HAN,"Yeah, but this time I got the money."
INT. MOS EISLEY - CANTINA,GREEDO,"If you give it to me, I might forget I found you."
INT. MOS EISLEY - CANTINA,HAN,I don't have it with me. Tell Jabba...
INT. MOS EISLEY - CANTINA,GREEDO,Jabba's through with you. He has no time for smugglers who drop their shipments at the first sign of an Imperial cruiser.
INT. MOS EISLEY - CANTINA,HAN,Even I get boarded sometimes. Do you think I had a choice?
INT. MOS EISLEY - CANTINA,GREEDO,You can tell that to Jabba. He may only take your ship.
INT. MOS EISLEY - CANTINA,HAN,Over my dead body.
INT. MOS EISLEY - CANTINA,GREEDO,That's the idea. I've been looking forward to killing you for a long time.
INT. MOS EISLEY - CANTINA,HAN,"Yes, I'll bet you have."
INT. MOS EISLEY - CANTINA,HAN,Sorry about the mess.
INT. DEATH STAR - CONTROL ROOM,VADER,Her resistance to the mind probe is considerable. It will be some time before we can extract any information from her.
INT. DEATH STAR - CONTROL ROOM,IMPERIAL OFFICER,The final check-out is complete. All systems are operational. What course shall we set?
INT. DEATH STAR - CONTROL ROOM,TARKIN,Perhaps she would respond to an alternative form of persuasion.
INT. DEATH STAR - CONTROL ROOM,VADER,What do you mean?
INT. DEATH STAR - CONTROL ROOM,TARKIN,I think it is time we demonstrate the full power of this station.(to soldier)Set your course for Princess Leia's home planet of Alderaan.
INT. DEATH STAR - CONTROL ROOM,TROOPER,With pleasure.
EXT. TATOOINE - MOS EISLEY - STREET,THREEPIO,"Lock the door, Artoo."
EXT. TATOOINE - MOS EISLEY - STREET,TROOPER,"All right, check that side of the street. It's secure. Move on to the next door."
EXT. TATOOINE - MOS EISLEY - STREET,THREEPIO,"I would much rather have gone with Master Luke than stay here with you. I don't know what all the trouble is about, but I'm sure it must be your fault."
EXT. TATOOINE - MOS EISLEY - STREET,THREEPIO,You watch your language!
EXT. TATOOINE - MOS EISLEY - STREET - ALLEYWAY - USED ,SPEEDER LOT,
EXT. TATOOINE - MOS EISLEY - STREET - ALLEYWAY - USED ,LUKE,"He says it's the best he can do. Since the XP-38 came out, they're just not in demand."
EXT. TATOOINE - MOS EISLEY - STREET - ALLEYWAY - USED ,BEN,It will be enough.
EXT. TATOOINE - MOS EISLEY - STREET - ALLEYWAY - USED ,BEN,"If the ship's as fast as he's boasting, we ought to do well."
INT. DOCKING BAY 94 - DAY,JABBA,"Come on out, Solo!"
INT. DOCKING BAY 94 - DAY,HAN,"I've been waiting for you, Jabba."
INT. DOCKING BAY 94 - DAY,JABBA,I expected you would be.
INT. DOCKING BAY 94 - DAY,HAN,I'm not the type to run.
INT. DOCKING BAY 94 - DAY,JABBA,"(fatherly-smooth)Han, my boy, there are times when you disappoint me... why haven't you paid me? And why did you have to fry poor Greedo like that... after all we've been through together."
INT. DOCKING BAY 94 - DAY,HAN,You sent Greedo to blast me.
INT. DOCKING BAY 94 - DAY,JABBA,"(mock surprise)Han, why you're the best smuggler in the business. You're too valuable to fry. He was only relaying my concern at your delays. He wasn't going to blast you."
INT. DOCKING BAY 94 - DAY,HAN,"I think he thought he was. Next time don't send one of those twerps. If you've got something to say to me, come see me yourself."
INT. DOCKING BAY 94 - DAY,JABBA,"Han, Han! If only you hadn't had to dump that shipment of spice... you understand I just can't make an exception. Where would I be if every pilot who smuggled for me dumped their shipment at the first sign of an Imperial starship? It's not good business."
INT. DOCKING BAY 94 - DAY,HAN,"You know, even I get boarded sometimes, Jabba. I had no choice, but I've got a charter now and I can pay you back, plus a little extra. I just need some more time."
INT. DOCKING BAY 94 - DAY,JABBA,"(to his men)Put your blasters away. Han, my boy, I'm only doing this because you're the best and I need you. So, for an extra, say twenty percent I'll give you a little more time... but this is it. If you disappoint me again, I'll put a price on your head so large you won't be able to go near a civilized system for the rest of your short life."
INT. DOCKING BAY 94 - DAY,HAN,"Jabba, I'll pay you because it's my pleasure."
INT. MOS EISLEY SPACEPORT - DOCKING BAY 94,LUKE,What a piece of junk.
INT. MOS EISLEY SPACEPORT - DOCKING BAY 94,HAN,"She'll make point five beyond the speed of light. She may not look like much, but she's got it where it counts, kid. I've added some special modifications myself."
INT. MOS EISLEY SPACEPORT - DOCKING BAY 94,HAN,"We're a little rushed, so if you'll hurry aboard we'll get out of here."
INT. MOS EISLEY SPACEPORT - DOCKING BAY 94,THREEPIO,"Hello, sir."
EXT. TATOOINE - MOS EISLEY - STREET,TROOPER,Which way?
EXT. TATOOINE - MOS EISLEY - STREET,TROOPER,"All right, men. Load your weapons!"
INT. MOS EISLEY SPACEPORT - DOCKING BAY 94],TROOPER,Stop that ship!
INT. MOS EISLEY SPACEPORT - DOCKING BAY 94],TROOPER,Blast 'em!
INT. MILLENNIUM FALCON,HAN,"Chewie, get us out of here!"
INT. MILLENNIUM FALCON,THREEPIO,"Oh, my. I'd forgotten how much I hate space travel."
INT. MILLENNIUM FALCON - COCKPIT,HAN,It looks like an Imperial cruiser. Our passengers must be hotter than I thought. Try and hold them off. Angle the deflector shield while I make the calculations for the jump to light speed.
INT. MILLENNIUM FALCON - COCKPIT,HAN,Stay sharp! There are two more coming in; they're going to try to cut us off.
INT. MILLENNIUM FALCON - COCKPIT,LUKE,Why don't you outrun them? I thought you said this thing was fast.
INT. MILLENNIUM FALCON - COCKPIT,HAN,"Watch your mouth, kid, or you're going to find yourself floating home. We'll be safe enough once we make the jump to hyperspace. Besides, I know a few maneuvers. We'll lose them!"
INT. MILLENNIUM FALCON - COCKPIT,HAN,Here's where the fun begins!
INT. MILLENNIUM FALCON - COCKPIT,BEN,How long before you can make the jump to light speed?
INT. MILLENNIUM FALCON - COCKPIT,HAN,It'll take a few moments to get the coordinates from the navi-computer.
INT. MILLENNIUM FALCON - COCKPIT,LUKE,Are you kidding? At the rate they're gaining...
INT. MILLENNIUM FALCON - COCKPIT,HAN,"Traveling through hyperspace isn't like dusting crops, boy! Without precise calculations we could fly right through a star or bounce too close to a supernova and that'd end your trip real quick, wouldn't it?"
INT. MILLENNIUM FALCON - COCKPIT,LUKE,What's that flashing?
INT. MILLENNIUM FALCON - COCKPIT,HAN,"We're losing our deflector shield. Go strap yourself in, I'm going to make the jump to light speed."
INT. DEATH STAR - CONTROL ROOM,MOTTI,We've entered the Alderaan system.
INT. DEATH STAR - CONTROL ROOM,LEIA,"Governor Tarkin, I should have expected to find you holding Vader's leash. I recognized your foul stench when I was brought on board."
INT. DEATH STAR - CONTROL ROOM,TARKIN,Charming to the last. You don't know how hard I found it signing the order to terminate your life!
INT. DEATH STAR - CONTROL ROOM,LEIA,I surprised you had the courage to take the responsibility yourself!
INT. DEATH STAR - CONTROL ROOM,TARKIN,"Princess Leia, before your execution I would like you to be my guest at a ceremony that will make this battle station operational. No star system will dare oppose the Emperor now."
INT. DEATH STAR - CONTROL ROOM,LEIA,"The more you tighten your grip, Tarkin, the more star systems will slip through your fingers."
INT. DEATH STAR - CONTROL ROOM,TARKIN,"Not after we demonstrate the power of this station. In a way, you have determined the choice of the planet that'll be destroyed first. Since you are reluctant to provide us with the location of the Rebel base, I have chosen to test this station's destructive power... on your home planet of Alderaan."
INT. DEATH STAR - CONTROL ROOM,LEIA,No! Alderaan is peaceful. We have no weapons. You can't possibly...
INT. DEATH STAR - CONTROL ROOM,TARKIN,You would prefer another target? A military target? Then name the system!
INT. DEATH STAR - CONTROL ROOM,TARKIN,I grow tired of asking this. So it'll be the last time. Where is the Rebel base?
INT. DEATH STAR - CONTROL ROOM,LEIA,(softly)Dantooine.
INT. DEATH STAR - CONTROL ROOM,LEIA,They're on Dantooine.
INT. DEATH STAR - CONTROL ROOM,TARKIN,"There. You see Lord Vader, she can be reasonable.(addressing Motti)Continue with the operation. You may fire when ready."
INT. DEATH STAR - CONTROL ROOM,LEIA,What?
INT. DEATH STAR - CONTROL ROOM,TARKIN,You're far too trusting. Dantooine is too remote to make an effective demonstration. But don't worry. We will deal with your Rebel friends soon enough.
INT. DEATH STAR - CONTROL ROOM,LEIA,No!
INT. DEATH STAR - BLAST CHAMBER,VADER,Commence primary ignition.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,LUKE,Are you all right? What's wrong?
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,I felt a great disturbance in the Force... as if millions of voices suddenly cried out in terror and were suddenly silenced. I fear something terrible has happened.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,You'd better get on with your exercises.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,"Well, you can forget your troubles with those Imperial slugs. I told you I'd outrun 'em."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,Don't everyone thank me at once.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,"Anyway, we should be at Alderaan about oh-two-hundred hours."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,THREEPIO,"Now be careful, Artoo."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,THREEPIO,He made a fair move. Screaming about it won't help you.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,(interrupting)Let him have it. It's not wise to upset a Wookiee.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,THREEPIO,"But sir, nobody worries about upsetting a droid."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,That's 'cause droids don't pull people's arms out of their socket when they lose. Wookiees are known to do that.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,THREEPIO,"I see your point, sir. I suggest a new strategy, Artoo. Let the Wookiee win."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,"Remember, a Jedi can feel the Force flowing through him."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,LUKE,You mean it controls your actions?
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,Partially. But it also obeys your commands.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,"Hokey religions and ancient weapons are no match for a good blaster at your side, kid."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,LUKE,"You don't believe in the Force, do you?"
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,"Kid, I've flown from one side of this galaxy to the other. I've seen a lot of strange stuff, but I've never seen anything to make me believe there's one all-powerful force controlling everything. There's no mystical energy field that controls my destiny."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,It's all a lot of simple tricks and nonsense.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,"I suggest you try it again, Luke."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,"This time, let go your conscious self and act on instinct."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,LUKE,"(laughing)With the blast shield down, I can't even see. How am I supposed to fight?"
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,Your eyes can deceive you. Don't trust them.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,Stretch out with your feelings.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,"You see, you can do it."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,I call it luck.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,"In my experience, there's no such thing as luck."
